text,options,type,answer,score,explanation,註解
有關心肌梗塞後性生活的建議事項，下列敘述何者正確？①應該儘量避免以免再次發作　②能量消耗大約與 上下兩層樓相當　③飽餐後或酒後比較適合性行為　④性行為事後應預防性服用NTG　⑤應在熟悉的環境與 伴侶進行以避免過度緊張與刺激　⑥環境的室溫勿太冷或太熱,A.①②③ B.①④⑥ C.②⑤⑥ D.③④⑤,單選,C. ②⑤⑥,2,【解答】C 【出處】心臟系統 【解析】 應事前服用 NTG，並避免在飽餐後或酒後進行,113內外科
下列何者為冠狀動脈性心臟病人服用Aspirin之主要目的？,A.緩解發作時胸痛 B.鬆弛血管平滑肌 C.抑制血小板凝集 D.減緩心跳速率,單選,C. 抑制血小板凝集,2,【解答】C 【出處】心臟系統 【解析】Aspirin 之主要目的為抑制血小板凝集,113內外科
有關心臟節律器之敘述，下列何者正確？,A.裝設心臟節律器術後，出現持續打嗝是正常現象 B.永久性心臟節律器的激搏器在體外，可方便更換電池 C.裝設暫時性心臟節律器，心電圖上不會出現激搏波（pace spike） D.裝設永久性心律調節器後，4～6週內應避免提重物,單選,D. 裝設永久性心律調節器後，4～6週內應避免提重物,2,【解答】D 【出處】心臟系統 【解析】 (A)出現持續打嗝可能導線滑脫 (B)永久性心臟節律器的激搏器在體內 (C)裝設暫時性心臟節律器，心電圖上也會出現  激搏波(pace spike),113內外科
有關下肢深部靜脈栓塞服用Warfarin病人之護理指導，下列何者正確？,A.需監測活化部分凝血酶原時間（APTT） B.可以自行停用藥物 C.避免大量食用深綠色蔬菜 D.建議補充維生素K,單選,C. 避免大量食用深綠色蔬菜,2,【解答】C 【出處】心臟系統 【解析】(A)需監測 PT (B)不可以自行停用藥物 (D)避免維生素K,113內外科
針對接受trastuzumab（Herceptin®）治療的癌症病人之護理，下列何者正確？①靜脈滴注給藥　②空腹口 服給藥　③監測丘疹、手足症候群　④監測心臟功能,A.①③ B.①④ C.②③ D.②④,單選,B. ①④,2,【解答】B 【出處】皮膚系統 【解析】Herceptin 採靜脈滴注給藥、需監測監測 心臟功能,113內外科
有關癌細胞轉移之敘述，下列何者錯誤？,A.轉移是指癌細胞從原發部位擴散至身體其他組織器官 B.惡性肉瘤（sarcoma）常以淋巴轉移方式轉移到其他部位 C.常見轉移方式為淋巴轉移、血流轉移及體腔內播種式生長 D.肺、肝及骨骼為原發性癌症常見轉移部位,單選,B. 惡性肉瘤（sarcoma）常以淋巴轉移方式轉移到其他部位,2,【解答】B 【出處】 【解析】,113內外科
李先生45歲，日前因頸部右側不對稱腫塊到醫院求診，經淋巴切片檢查診斷為何杰金氏症，下列何者不是此 病常見的症狀？,A.淋巴系統發現有腫大、但無壓痛情形 B.皮膚系統發現有搔癢情形 C.腸胃系統有嘔吐、排便習慣改變的情形 D.呼吸系統發現有呼吸困難、咳嗽咳血或胸悶,單選,C. 腸胃系統有嘔吐、排便習慣改變的情形,2,【解答】C 【出處】血液系統 【解析】非何杰金比較容易侵犯腹部淋巴結,113內外科
病人接受doxorubicin（Adriamycin®）注射時，發現點滴不順、針頭附近有微發紅及刺痛情形，下列處置何 者不適當？,A.可能為熱反應，注射後給予0.9% N/S及dexamethasone B.懷疑是藥物外滲時，停止注射以原針頭回抽藥物 C.墊高注射部位且局部避免加壓 D.評估為藥物外滲則可給予溫熱敷,單選,D. 評估為藥物外滲則可給予溫熱敷,2,【解答】D 【出處】癌症 【解析】冷敷,113內外科
王小明，體重50公斤，接受組織配對成功為供髓者，下列護理措施何者正確？,A.骨髓抽取時採半身麻醉 B.骨髓抽取量約100 c.c. C.骨髓抽取後不需平躺 D.骨髓抽出過濾後可立即輸注至受髓者體內,單選,D. 骨髓抽出過濾後可立即輸注至受髓者體內,2,【解答】D 【出處】血液系統 【解析】 (A)骨髓抽取時採全身麻醉 (B)骨髓抽取量約 500~1000 c.c. (C)骨髓抽取後需平躺,113內外科
有關紅血球增多症病人之護理措施，下列何者錯誤？,"A.教導病人深呼吸及有效咳嗽，促進肺部擴張及通氣 B.告知病人儘量臥床休息，避免活動造成出血 C.鼓勵病人增加飲水量，每日至少3,000～4,000 mL D.評估跌倒的危險因子並維護病人安全",單選,B. 告知病人儘量臥床休息，避免活動造成出血,2,【解答】B 【出處】血液系統 【解析】鼓勵保持適當活動,113內外科
葉女士手部遭魚刺刺傷，出現局部發紅、化膿的炎症反應，診斷為蜂窩性組織炎，下列護理措施何者正確？,A.給予周邊靜脈輸液及全身性抗生素連續7～10天 B.依照內科無菌原則施行冷水浸泡以減輕炎症反應 C.教導減少攝取液體以避免患處水腫 D.患肢低於胸部以降低病菌回流至軀幹,單選,A. 給予周邊靜脈輸液及全身性抗生素連續7～10天,2,【解答】A 【出處】急症 加店 【解析】因蜂窩性組織炎多為細菌感染所造成， 給予周邊靜脈輸液及全身性抗生素連續 7~10天,113內外科
有關氣爆引發四度熱燒傷的健康問題，下列何者較不常發生？,A.體溫過低 B.體液容積缺失 C.急性疼痛 D.潛在危險性感染,單選,C. 急性疼痛,2,【解答】C 【出處】皮膚系統 【解析】4 度燒傷，已無痛覺,113內外科
有關疥瘡的治療，下列敘述何者正確？,A.為避免因接觸而傳染給他人，抗疥蟲藥物最好於白天使用 B.成人病人使用crotamiton（Eurax®）滅疥乳膏時，可一日數次塗抹於頭、臉、全身，尤其皮膚皺褶處 C.Benzyl Benzoate（B. B.）塗抹後，待藥液乾後再塗一次，24小時後沖掉，每晚或隔晚使用，共3次 D.γ-benzene hexachloride（Lindane）具有神經毒性，塗抹後8～12小時沖掉，每天使用一次,單選,C. Benzyl Benzoate（,2,【解答】C 【出處】皮膚系統 【解析】藥物於晚間洗澡後使用，塗抹全身自頸 部到腳底，Lindane 一周一次,113內外科
有關鞏皮症臨床表徵之敘述，下列何者錯誤？,A.易有上腹飽脹、上腹或胸骨後的灼痛 B.雷諾氏現象 C.面部表情缺失 D.後續會發展成肝衰竭,單選,D. 後續會發展成肝衰竭,2,【解答】D 【出處】免疫系統 ％仅市 【解析】主要特徵是結締組織過度增生而沈積在 皮膚、血管，造成皮膚緊繃、硬化及血管內壁細 胞異常增生，引發血管疾病,113內外科
有關全身性紅斑性狼瘡（SLE）臨床表徵之敘述，下列何者錯誤？,A.皮膚症狀：蝴蝶斑為主要典型症狀 B.心肺症狀：肺部受侵犯以肺炎最為常見 C.泌尿系統：可能出現蛋白尿、血尿 D.神經系統：出現人格改變或精神疾病,單選,B. 心肺症狀：肺部受侵犯以肺炎最為常見,2,【解答】B 【出處】免疫系統 【解析】心肺症狀以心包炎最常見,113內外科
下列何者是持續換氣不足病人之動脈血液氣體分析最可能出現的結果？,A.呼吸性酸中毒 B.呼吸性鹼中毒 C.代謝性酸中毒 D.代謝性鹼中毒,單選,A. 呼吸性酸中毒,2,【解答】A 【出處】體液電解質 【解析】換氣不足，CO2留置在體內，導致呼吸 性酸中毒,113內外科
周先生為氣喘病人，使用藥物後，出現「心悸、心律不整」的反應，最可能導致此反應的藥物為下列何者？,A.fenoterol（Berotec®） B.ipratropium bromide（Atrovent®） C.budesonide（Duasma®） D.montelukast（Singular®）,單選,A. fenoterol（Berotec®）,2,【解答】A 【出處】呼吸系統 【解析】fenoterol (Berotec®）屬於擬交感神經藥β 2 刺激劑,113內外科
王先生診斷左側肋膜積水準備接受胸腔放液穿刺術，下列何者為其最適當的姿勢體位？,A.床頭搖高30度仰臥 B.坐於床緣，頭和手趴在床旁桌上 C.躺向左側，左手臂上舉過頭 D.左手上舉採俯臥,單選,B. 坐於床緣，頭和手趴在床旁桌上,2,【解答】B 【出處】 呼吸系統 【解析】(A)(C)(D)如果是臥床病人，應採右側臥,113內外科
有關肺炎鏈球菌肺炎病人之臨床表徵，下列敘述何者最不適當？,A.痰液量增加 B.胸部X光出現肺浸潤 C.白血球上升 D.呼吸離軌度增加,單選,D. 呼吸離軌度增加,2,【解答】D 【出處】呼吸系統 【解析】 肺炎病人肺擴張程度減少，呼吸離軌度減少,113內外科
有關慢性阻塞性肺疾病（COPD）病人飲食指導之敘述，下列何者較適當？①進食時可將氧氣面罩更換為氧氣 套管　②選擇易咀嚼食物　③增加碳水化合物　④減少水分的攝取,A.①② B.①③ C.②④ D.③④,單選,A. ①②,2,【解答】A 【出處】呼吸系統 【解析】COPD 病人應減少攝取碳水化合物，並 增加水分攝取,113內外科
有關腎臟移植過程之敘述，下列何者錯誤？,A.病人術前需再進行血液透析移除體液與毒素 B.交叉試驗陰性才可以進行腎臟移植 C.移植腎多是植入於下腹部腔膜外的腸骨窩處 D.必須先移除原來腎臟再將新的腎臟做尿道接合,單選,D. 必須先移除原來腎臟再將新的腎臟做尿道接合,2,【解答】D 【出處】泌尿系統 【解析】腎臟移植，原腎臟不需要摘除,113內外科
下列那些檢查前需要確認病人腎功能？①腎動脈攝影術　②腎臟、輸尿管、膀胱X光檢查　③腎臟超音波 ④逆行性腎盂攝影術　⑤靜脈注射腎盂攝影術,A.①② B.①⑤ C.②③ D.④⑤,單選,B. ①⑤,2,【解答】B 【出處】泌尿系統 【解析】腎動脈攝影術、靜脈注射腎盂攝影術需 注射顯影劑，需先評估腎功能,113內外科
有關透析治療比較之敘述，下列何者正確？,A.血液透析的飲食限制，較腹膜透析嚴格 B.血液透析的蛋白質流失量，較腹膜透析多 C.血液透析發生高血脂比例，較腹膜透析高 D.血液透析對於心血管負荷，較腹膜透析少,單選,A. 血液透析的飲食限制，較腹膜透析嚴格,2,【解答】A 【出處】泌尿系統 【解析】 (B)腹膜透析的蛋白質流失量較多 (C)腹膜透析發生高血脂比例較高 (D)血液透析對於心血管負荷較多,113內外科
韓小姐的動脈血液氣體分析結果為pH 7.44、PaCO2 30 mmHg、HCO3 - 20 mmHg、PaO2 82 mmHg，根據以上數 值，判讀結果下列何者正確？,A.部分代償性呼吸性酸中毒 B.未代償性代謝性酸中毒 C.未代償性代謝性鹼中毒 D.完全代償性呼吸性鹼中毒,單選,D. 完全代償性呼吸性鹼中毒,2,【解答】D 【出處】 體液電解質 【解析】pH 7.44→正常值偏鹼（已完全代價）、 PaC02 30 mmHg→偏鹼（呼吸性）,113內外科
有關良性前列腺肥大（BPH）之敘述，下列何者錯誤？,A.是男性常見的老年疾病，是前列腺體的細胞本身肥大所致 B.尿路動力學檢查時發現病人的最大尿流速會減低 C.病人常主訴頻尿或餘尿感（解不乾淨） D.肛門觸診可以評估前列腺肥大的程度,單選,A. 是男性常見的老年疾病，是前列腺體的細胞本身肥大所致,2,【解答】A 【出處】泌尿系統 【解析】(A)是男性常見的老年族病，是前列腺 的細胞「數量增加」所致,113內外科
有關原發性醛固酮過多症之護理措施，下列何者錯誤？,A.需觀察病人有無肌肉軟弱無力、疲倦、麻痹、心律不整等臨床表徵 B.需觀察病人有無強直性痙攣和呼吸抑制情形 C.教導病人飲食中應多補充高鈉食物，例如火腿、香腸、起司等 D.需注意病人血壓的變化，有無血壓過高情形,單選,C. 教導病人飲食中應多補充高鈉食物，例如火腿、香腸、起司等,2,【解答】C 【出處】內分泌【解析】(C)教導病人飲食中應多採低鈉飲食，因 病人會有高血鈉情況,113內外科
有關抗利尿激素分泌不當症候群（SIADH）病人的臨床照護，下列何者錯誤？,"A.依醫囑補充3%生理食鹽水的靜脈輸液及注射furosemide（Lasix®） B.鼓勵病人多攝取低纖食物 C.監測有無出現肌肉抽搐與昏迷的徵象 D.依醫囑限制水分攝取每日在1,000 c.c.以下",單選,B. 鼓勵病人多攝取低纖食物,2,【解答】B 【出處】內分泌 【解析】鼓勵病人多攝取高纖食物，預防便祕,113內外科
有關雙胍類降血糖藥物metformin（Glucophage®）之敘述，下列何者錯誤？,A.減少肝臟葡萄糖的輸出，以降低空腹血糖 B.最好與食物一起服用，或飯後馬上服用 C.易出現胃腸道刺激及引發維生素B6缺乏 D.腎功能不良的病人需要小心使用,單選,C. 易出現胃腸道刺激及引發維生素B6缺乏,2,【解答】C 【出處】內分泌 【解析】維生素 B12 缺乏,113內外科
張太太，罹患糖尿病2年，平日使用口服抗血糖藥物控制血糖，今日在家昏倒被送至急診，醫師初步診斷為 高滲透壓高血糖狀態（HHS），病人會呈現的徵象，下列何者正確？①呼吸速率26次／分　②血壓166/84 mmHg　③尿酮呈陽性反應，明顯升高　④血糖為750 mg/dL。,A.①② B.①④ C.②③ D.③④,單選,B. ①④,2,【解答】B 【出處】內分泌 【解析】高滲透壓高血糖狀態（HHS）症狀以脫 水為主：TPR↑、高血糖,113內外科
有關甲狀腺機能亢進病人服用飽和碘化鉀溶液之敘述，下列何者正確？,A.絕不可與牛奶一起服用 B.主要功能是抑制T4轉變為T3 C.可以降低甲狀腺素的釋放及合成 D.要長期服用超過一個月才能評估臨床效果,單選,C. 可以降低甲狀腺素的釋放及合成,2,【解答】C 【出處】內分泌 【解析】（A）可與牛奶一起服用 (B)抑制甲狀腺素合成與T4分泌 (D)不可使用超過兩周,113內外科
有關休克病人體溫下降之護理措施，下列何者正確？,A.當身體顫抖產熱及代謝增加，應調低室溫以減少發燒程度 B.靜脈注射的液體或血液，應加溫至接近正常體溫 C.使用熱水袋或電毯包裹四肢 D.給予熱水浴，以增加病人舒適感,單選,B. 靜脈注射的液體或血液，應加溫至接近正常體溫,2,【解答】B 【出處】急症 【解析】維持體溫於正常範圍,113內外科
有關食物中毒之敘述，下列何者正確？,A.河豚中毒主要是處理河豚過程被細菌污染造成 B.金黃色葡萄球菌中毒症狀主要是視力模糊、吞嚥困難 C.沙門氏桿菌中毒症狀主要是腹瀉、噁心、嘔吐及發燒 D.食物中毒之嚴重度與食入污染物的量與內毒素含量呈負相關,單選,C. 沙門氏桿菌中毒症狀主要是腹瀉、噁心、嘔吐及發燒,2,【解答】C 【出處】急症 【解析】 (A)河豚中毒主要是食用有毒河豚造成 (B)金黃色葡萄球菌中毒症狀主要有噁心、嘔吐、 腹瀉等 (D)食物中毒之嚴重度與食入污染物的量與內毒 素含量呈正相關,113內外科
有關自動體外電擊去顫器（AED）操作，下列敘述何者錯誤？,A.可由非醫護人員操作使用 B.若病人體內裝有人工心臟節律器就不能使用AED C.操作步驟口訣：開、貼、插、按 D.按電擊鈕前先清場，確認無人接觸病人,單選,B. 若病人體內裝有人工心臟節律器就不能使用AED,2,【解答】B 【出處】急症 【解析】體內裝有人工心臟節律器可以使用 AED ，貼片避開即可,113內外科
有關漢生病（Hansen’s disease）俗稱痲瘋（leprosy）的照護措施，下列何者正確？,A.最常侵犯腸胃系統，應加強評估消化功能與營養狀態 B.照護時採接觸及呼吸道隔離 C.目前無治療藥物，採支持療法 D.皮膚病變僅出現在臉部,單選,B. 照護時採接觸及呼吸道隔離,2,【解答】B 【出處】【解析】 (A)(D)漢生病主要侵犯人體的皮膚、粘膜及周圍 的神經，會造成感染部位麻木、喪失肌肉控制 力與殘障 (B)感染罹病初期及早接受藥物治療，可完全痊且不會留下後遺症,113內外科
有關孕產婦死亡率之敘述，下列何者正確？,A.係指一年內每十萬名活產中，於懷孕期間或懷孕終止42天內之婦女死亡數 B.係指一年內每十萬名活產中，於第三妊娠期或懷孕終止7天內之婦女死亡數 C.係指一年內每十萬名活產中，於第三妊娠期或懷孕終止30天內之婦女死亡數 D.係指一年內每十萬名活產中，於懷孕期間或懷孕終止24小時內之婦女死亡數,單選,A. 係指一年內每十萬名活產中，於懷孕期間或懷孕終止42天內之婦女死亡數,2,【解答】A 【出處】懷孕與胎兒發育 【解析】此題已經連續出現多次，若你還沒有背 熟就太可惜了，平白讓分數溜走了。,113產兒科
有關妊娠期血液檢查之敘述，下列何者正確？,A.首次產檢需要篩檢人類免疫缺乏病毒 B.第一妊娠期進行母體血液葡萄糖耐受篩檢 C.第二妊娠期進行B群鏈球菌篩檢 D.第三妊娠期進行德國麻疹抗體濃度價數篩檢,單選,A. 首次產檢需要篩檢人類免疫缺乏病毒,2,【解答】A 【出處】懷孕的評估與護理 【解析】第二妊娠期行母體血液葡萄糖耐受篩檢； 第三妊娠期行B群鏈球菌篩檢;第一妊娠期行德國 麻疹抗體濃度價數篩檢。,113產兒科
王先生將成為準父親，有關王先生於配偶孕期之心理變化，下列何者最適當？,A.第一孕期最常出現害怕生產的壓力 B.第二孕期最擔憂是否能勝任成為父親的角色 C.第一孕期常因胎動而感覺與胎兒連成一體 D.第二孕期常會想像胎兒模樣及身為父親的形象,單選,D. 第二孕期常會想像胎兒模樣及身為父親的形象,2,【解答】D 【出處】孕期心理社會適應 【解析】準父親在第一孕期最擔憂是否能勝任成 為父親的角色，第二孕期因胎動而感覺與胎兒連 成一體，常會想像胎兒模樣及身為父親的形象， 第三孕期最常出現害怕生產的壓力。,113產兒科
王女士，32歲，妊娠8週，前一胎因21對染色體異常引產，詢問此次有關唐氏症篩檢之敘述，下列何者最合 適？,A.建議妊娠16～18週之間，可以接受絨毛膜穿刺，確定胎兒染色體是否正常 B.建議妊娠11～12週之間，可以接受羊膜腔穿刺，確定胎兒染色體是否正常 C.建議妊娠21～24週之間，可以進行母血唐氏症篩檢，確定胎兒染色體是否正常 D.建議妊娠15～20週之間，可以接受頸部透明帶的檢測，確定胎兒染色體是否正常,單選,D. 建議妊娠15～20週之間，可以接受頸部透明帶的檢測，確定胎兒染色體是否正常,2,【解答】原D釋疑為給分 【出處】胎兒診斷與監測 【解析】於妊娠 9～12 週行絨毛膜穿刺，或 16~ 18 週之間行羊膜腔穿刺，才能確定診斷唐氏症。 母血籂檢與頸部透明帶檢測只是篩檢，不能確言 診斷唐氏症。,113產兒科
有關妊娠期的心臟血管系統生理變化，下列敘述何者錯誤？,"A.出現生理性白血球增多症，白血球數量可增加到15,000/mm3 B.妊娠生理性貧血是因紅血球攜鐵蛋白的能力降低所致 C.心輸出量增加30～50%，以供應子宮、胎盤需要血流 D.血漿中白蛋白降低，使得水分易滯留在血管間隙形成水腫",單選,B. 妊娠生理性貧血是因紅血球攜鐵蛋白的能力降低所致,2,【解答】B 【出處】孕期的生理變化 【解析】妊娠生理性貧血是妊娠中血漿量增加幅 度比紅血球量多，因而造成血液稀釋結果。,113產兒科
有關孕期的營養需求，下列敘述何者錯誤？,A.於第三孕期多補充鐵劑 B.整個孕期應多補充碘 C.磷可參與早期的細胞分裂過程 D.鈣質提供胎兒骨骼和牙齒的生長發育,單選,C. 磷可參與早期的細胞分裂過程,2,【解答】C 【出處】懷孕的評估與護理 【解析】孕期所補充的葉酸，具有幫助細胞合成、 分裂、生長的功能，參與合成 DNA 及RNA 的過 程。,113產兒科
葉女士，28歲，G1P0，待產過程中突然自然破水，內診發現子宮頸口開8公分、變薄程度80%、先露部位+1。下 列何者為最優先之護理處置？,A.提供灌腸 B.監測胎心率變化 C.提供氧氣 D.採平躺增加子宮血流,單選,B. 監測胎心率變化,2,【解答】B 【出處】生產過程之護理 咖X5 【解析】突然破水後應立即監測胎心率變化，檢 查是否引發臍帶脫垂。,113產兒科
陰道生產過程，下列何種情形表示先露部位胎頭已發生著冠（crowning）？,A.當子宮收縮時，胎頭顱頂上出現一圈可見的壓痕 B.當子宮收縮時，胎頭出現於陰道口，宮縮間歇時，胎頭縮回陰道內 C.當子宮收縮時，陰道口膨出可見胎頭，大小呈卵圓形 D.當宮縮間歇時，胎頭出現於陰道口且不會縮回陰道內,單選,D. 當宮縮間歇時，胎頭出現於陰道口且不會縮回陰道內,2,【解答】B 【出處】生產過程 【解析】著冠（crowning）為宮縮時先露部在陰 道口，子宫鬆弛不再退回，表胎頭最大横徑(BPD) 已到達母親的陰道口。,113產兒科
有關分娩期預防產後出血的措施，下列何者不適當？,A.待產婦在進入第二產程前，開始持續靜脈注射methylergometrine（Methergin） B.胎盤娩出後，檢查胎盤以確認胎盤完整娩出 C.在新生兒及產婦狀況穩定下，協助親子立即肌膚接觸 D.產後於恢復室觀察，每15分鐘監測產婦的血壓及出血量,單選,A. 待產婦在進入第二產程前，開始持續靜脈注射methylergometrine（Methergin）,2,【解答】A [出處】生產遇程之護理中公公 【解析】methylergometrine ( Methergin) 禁忌於胎 盤/胎兒娩出前使用,113產兒科
胎兒為頭產式，胎頭呈部分屈曲，其最可能以下列那條徑線通過產道？,A.枕下前囟徑（SOB） B.枕額徑（OF） C.枕頦徑（OM） D.頦下前囟徑（SMB）,單選,B. 枕額徑（OF）,2,【解答】B 【出處】生產過程 【解析】胎兒為頭產式時，胎頭完全屈曲，會以 枕下前囟徑（SOB）進入產道；胎頭半仰伸(作戰 姿勢)會以枕頦徑（OM）進入產道;胎頭若完全仰 伸則會以枕頦徑（OM） 進入產道。,113產兒科
劉女士，G1P0，子宮頸開4公分，每3分鐘宮縮一次，無胎頭骨盆不對稱（CPD），使用硬脊膜外麻醉，持續2 小時都未見胎頭下降，此時最優先之處置為何？,A.評估膀胱的情形 B.評估胎頭大小 C.給與ritodrine點滴注射，促進子宮收縮 D.評估羊水量,單選,A. 評估膀胱的情形,2,【解答】A 【出處】生產過程 【解析】漲大的膀胱會妨礙胎頭下降。,113產兒科
王女士，初產婦，陰道生產，採純母乳哺育，產後6週重返職場的一週後，主訴發燒38℃，右側乳房情況如 圖所示，觸診溫熱且有痛感。最可能的診斷是？,A.因為剛剛返回工作狀態，所以最可能是壓力性乳腺管阻塞（blocked ducts） B.因為幾乎整個乳房大面積發紅，所以最可能是乳房腫脹（engorgement） C.因為乳頭可見傷口，所以最可能是乳腺炎（mastitis） D.因為乳房3、4點鐘方向有水囊狀感，所以最可能是乳房膿瘍（breast abscess）,單選,C. 因為乳頭可見傷口，所以最可能是乳腺炎（mastitis）,2,【解答】C 【出處】產後合併症及其護理 【解析】乳房腫脹(engorgement）與乳腺管阻塞 通常發生在哺乳期剛開始的三到五天呈雙側。乳 房膿瘍(breast abscess）則會出現的是界線清楚的 厚硬腫塊，非水襄狀物。,113產兒科
"蔡女士，初產婦，因產程遲滯而行剖腹生產，新生兒出生體重3,800公克。產婦計畫要完全哺餵母乳，擔心 自己奶水不足，因為從生產至今已兩天，都沒有脹奶的感覺，而且新生兒幾乎是含著乳房入睡，放下來就 哭。有關蔡女士對奶量的擔心，下列措施何者不適當？",A.評估新生兒兩天的排尿及排便情況 B.告訴產婦產程過長及剖腹生產都會延後脹奶出現的時間，這是正常的 C.肯定產婦完全母乳哺育的決定，了解這兩天新生兒吃奶及含乳的情況 D.了解產婦執行手擠乳的情況，討論增加手擠奶頻率的可行性,單選,B. 告訴產婦產程過長及剖腹生產都會延後脹奶出現的時間，這是正常的,2,【解答】B 【出處】母乳哺育 【解析】因生產因難、生產時間過久或難以分娩 出胎兒時，會增加壓力賀爾蒙「皮質醇」分泌造 成母奶延遲。,113產兒科
何女士，G1P1，採陰道分娩，無任何產後合併症，產後4小時，觸診子宮底時發現位於臍上一指且偏右，下列 何者為首要的護理措施？,A.子宮按摩 B.下床活動 C.多喝開水 D.如廁解尿,單選,D. 如廁解尿,2,【解答】D 【出處】產後期生心理調適 健叉克 【解析】漲大的膀胱會佔據子宮位於中央的位置 而使之偏右，也會造成子宮收縮不良、子宮體偏 大、宮底偏高。,113產兒科
有關產後婦女之情緒照顧，下列護理指導何者不適當？,A.初產婦出現哭泣不安及缺乏育兒信心為產後憂鬱症，應儘速就醫 B.在接受期（taking-in phase），鼓勵產婦陳述生產經驗，接受其感受，必要時可澄清其疑慮 C.在緊執期（taking-hold phase），鼓勵參與及學習新生兒照護 D.產婦即使進入放手期（letting-go phase），仍可能有不自覺的哀傷情緒,單選,A. 初產婦出現哭泣不安及缺乏育兒信心為產後憂鬱症，應儘速就醫,2,【解答】A 【出處】產後期生心理調適 【解析】產婦產後出現哭泣不安及缺乏育兒信心 是常見的一種短暫情緒低落，稱為產後沮喪症。 給予心理、社會支，持鼓勵表達情緒即可。,113產兒科
婦女產後痛（after pain）主要是評估下列那一個器官或組織之健康問題？,A.乳房、乳頭疼痛 B.會陰、會陰傷口疼痛 C.子宮、子宮間歇性收縮不適感 D.肛門、痔瘡痛,單選,C. 子宮、子宮間歇性收縮不適感,2,【解答】C 【出處】產後期生心理調適 【解析】產後痛是產後子宮收縮引起間歇性痙攣 性疼痛，於產後持續2、3天。,113產兒科
抱起新生兒放入磅秤測量體重，新生兒四肢出現對稱性的外展和伸直，大拇指與食指呈C字形，是下列那種 反射表現？,A.擁抱反射（moro reflex） B.驚嚇反射（startle reflex） C.手掌抓握反射（palmer grasp reflex） D.退縮反射（withdrawal reflex）,單選,A. 擁抱反射（moro reflex）,2,【解答】A 【出處】新生兒 【解析】當突然姿勢改變或出現大的聲響新生兒 會雙臂外展，手指伸開，四肢屈曲內收呈擁抱狀 稱為擁抱反射(moro reflex)，有時伴有啼哭。,113產兒科
方小妹，39週頭產式出生，下列何者新生兒身體評估結果為異常發現？,A.胎頭變形（molding） B.結膜下點狀出血 C.硬腭小白點（艾柏斯坦小珠Epstein's pearls） D.耳朵上緣位於內外眼眥連線以下,單選,D. 耳朵上緣位於內外眼眥連線以下,2,【解答】D 【出處】新生兒 【解析】耳朵上綠位於內外眼眥連線以下為低位 耳，常與許多先天遺傳性族病相關，常伴隨著發 育遲緩。,113產兒科
下列何者為評估男性新生兒皮膚飽和度的最佳部位？,A.陰囊 B.四肢末端 C.眼瞼 D.腹部,單選,D. 腹部,2,【解答】D 【出處】新生兒 【解析】新生兒在出生兩周內於身體的耳後、四 肢，會陸續出現脫皮的現象，故要觀察皮膚飽和 度的最佳部位為常有衣物覆蓋的腹部。,113產兒科
王女士，G1P0，妊娠38週，因早期破水入院待產，待產時宮縮頻率及強度均不好，破水30小時後新生兒才娩 出。產後第2天出現下列症狀：體溫38.5～39.5℃、惡露呈紅色有惡臭味、子宮底高度臍平、子宮軟、有頭 痛及失眠、下腹部壓痛但無反彈性壓痛。上述王女士的身體狀況，其臨床症狀敘述下列何者正確？,A.會陰傷口感染 B.子宮內膜炎 C.腹膜炎 D.泌尿道感染,單選,B. 子宮內膜炎,2,【解答】B 【出處】產後合併症及其護理 【解析】子宮內膜炎(Endometritis) 為產後第 48～72 小時發燒最常見原因。,113產兒科
接受子宮頸環紮術（cervical cerclage）之孕婦狀況，下列何者最適合？,A.上一胎足月產但此胎妊娠16週，子宮頸口擴張4公分 B.前兩次均在妊娠21週時無痛性流產，此胎在16週子宮頸長度3.3公分 C.妊娠18週有破水且有規則宮縮痛，內診發現子宮頸口擴張2公分 D.前胎31週早產，此胎在28週例行性超音波發現子宮頸長度1公分,單選,B. 前兩次均在妊娠21週時無痛性流產，此胎在16週子宮頸長度3.3公分,2,【解答】B 【出處】高危險妊娠及其護理 【解析】子宮頸環紮術(cervical cerclage) 施行於 懷孕14~18 週為避免孕婦因「子宮頸閉鎖不全」 導致流產或早產。正常子宮頸長度約3-4 公分， 若子宮頸長度短於2.5公分，為早產的高風險。,113產兒科
有關妊娠糖尿病之敘述，下列何者正確？,A.妊娠初期胎盤分泌人類胎盤泌乳激素（hPL）增加，產生胰島素拮抗 B.容易導致流產及羊水過多 C.與糖尿病遺傳史無關 D.口服降血糖藥為主要治療方式,單選,B. 容易導致流產及羊水過多,2,【解答】B 【出處】高危險妊娠及其護理 【解析】妊娠中期胎盤成熟，分泌人類胎盤泌乳 激素（hPL）增加，才會產生明顯胰島素拮抗作用。 第二型糖尿病有明顯家族遺傳史。口服降血糖藥 會通過胎盤，有潛在風險。飲食控制及注射胰島 素為妊娠糖尿病主要的治療方式。,113產兒科
李女士以oxytocin 進行引產，胎心音出現變異性減速，下列處置何者最適當？,A.提高oxytocin滴速 B.降低oxytocin滴速 C.維持原來oxytocin滴速 D.停止oxytocin的滴注,單選,D. 停止oxytocin的滴注,2,【解答】D 【出處】產中合併症及其護理 【解析】變異性減速可能與臍带受壓迫有關，可 以改變母親姿勢，給予氧氣，增加靜脈輸液、並 停止 oxytocin 的滴注處理。,113產兒科
